Symbol,Interval,Total Trades,Profitable Trades,Win Rate (%),Total Profit ($),Total Profit (%),Cluster
ETC-USD,Weekly,0,0,0.0,0.0,0.0,0
ETC-USD,Monthly,0,0,0.0,0.0,0.0,0
ETC-USD,Quarterly,0,0,0.0,0.0,0.0,0
BTC-USD,Weekly,0,0,0.0,0.0,0.0,1
BTC-USD,Monthly,0,0,0.0,0.0,0.0,1
BTC-USD,Quarterly,2,2,100.0,10028.474218750009,5.000000000000004,1
ETH-USD,Weekly,0,0,0.0,0.0,0.0,2
ETH-USD,Monthly,0,0,0.0,0.0,0.0,2
ETH-USD,Quarterly,0,0,0.0,0.0,0.0,2
BNB-USD,Weekly,0,0,0.0,0.0,0.0,3
BNB-USD,Monthly,0,0,0.0,0.0,0.0,3
BNB-USD,Quarterly,2,1,50.0,18.831553344726558,1.3866993592716834,3
